UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,H00001,L,300.2,310.5,2090,42.8,18,0,0,0,0,0,0
2,L00002,L,301.3,309.0,1580,40.5,154,0,0,0,0,0,0
3,H00003,L,305.0,310.7,2645,26.3,93,0,0,0,0,0,0
4,H00004,L,300.1,310.0,2535,52.0,113,0,0,0,0,0,0
5,L00005,L,297.7,307.3,1561,33.9,52,0,0,0,0,0,0
6,L00006,L,300.8,309.1,1184,43.6,96,0,0,0,0,0,0
7,H00007,L,299.0,307.9,2415,39.0,228,0,0,0,0,0,0
8,M00008,L,303.8,309.3,2829,24.1,172,0,0,0,0,0,0
9,H00009,M,299.0,310.3,2057,43.7,10,0,0,0,0,0,0
10,H00010,L,300.0,309.7,1229,28.0,119,0,0,0,0,0,0
11,H00011,L,301.2,310.6,1224,43.4,104,0,0,0,0,0,0
12,H00012,M,301.0,307.7,1960,34.8,9,0,0,0,0,0,0
13,L00013,L,302.8,311.0,1433,38.1,220,0,0,0,0,0,0
14,H00014,M,301.3,310.2,1876,47.1,85,0,0,0,0,0,0
15,M00015,L,304.7,308.7,2411,27.4,19,0,0,0,0,0,0
16,L00016,L,300.9,310.0,1486,71.0,146,0,0,0,0,0,0
17,M00017,H,302.6,312.2,2704,31.5,87,0,0,0,0,0,0
18,M00018,L,299.1,311.5,1735,47.0,219,0,0,0,0,0,0
19,M00019,M,303.9,311.7,1716,49.0,129,0,0,0,0,0,0
20,M00020,L,299.3,309.8,1232,55.3,167,0,0,0,0,0,0
21,L00021,M,303.0,311.1,2849,33.3,246,1,0,0,1,0,0
22,L00022,M,301.8,311.3,1467,32.5,145,0,0,0,0,0,0
23,M00023,L,300.1,309.0,2024,51.0,81,0,0,0,0,0,0
24,M00024,M,303.0,311.3,1828,45.4,1,0,0,0,0,0,0
25,L00025,L,300.0,311.1,2801,45.7,46,0,0,0,0,0,0
26,L00026,M,302.7,309.3,2470,54.0,176,0,0,0,0,0,0
27,L00027,L,300.8,310.1,1849,41.0,118,0,0,0,0,0,0
28,H00028,M,299.2,311.4,2515,41.8,247,0,0,0,0,0,0
29,H00029,L,300.6,309.9,1983,53.3,150,0,0,0,0,0,0
30,H00030,L,300.1,310.9,2104,41.8,46,0,0,0,0,0,0
31,M00031,M,299.1,309.5,2597,29.9,243,0,0,0,0,0,0
32,H00032,M,300.5,308.9,2136,31.0,78,0,0,0,0,0,0
33,M00033,L,300.8,308.8,1168,37.3,123,0,0,1,0,0,0
34,M00034,L,295.1,309.7,1963,43.6,88,0,0,0,0,0,0
35,H00035,L,301.0,310.4,1153,49.6,172,0,0,0,0,0,0
36,M00036,L,301.5,308.2,1616,64.0,81,0,0,0,0,0,0
37,H00037,L,302.9,311.9,1339,37.5,20,0,0,0,0,0,0
38,H00038,M,297.5,311.1,2454,26.0,174,0,0,0,0,0,0
39,L00039,L,298.0,310.5,1212,24.1,31,0,0,0,0,0,0
40,H00040,M,300.4,310.8,2163,37.9,241,0,0,0,0,0,0
41,L00041,M,298.6,309.4,2427,39.9,18,0,0,0,0,0,0
42,H00042,L,297.6,308.5,2800,46.1,145,0,0,0,0,0,0
43,H00043,L,299.2,310.4,2175,64.5,23,0,0,0,0,0,0
44,L00044,L,299.3,311.0,1216,46.2,174,0,0,0,0,0,0
45,L00045,L,298.0,309.5,2027,40.9,105,0,0,0,0,0,0
46,H00046,M,298.0,309.1,2459,50.0,157,1,0,0,0,0,0
47,M00047,L,299.8,309.5,1281,24.2,92,0,0,0,0,0,0
48,L00048,M,297.1,310.5,2221,42.5,245,0,0,0,0,0,0
49,M00049,L,297.1,310.6,2728,23.7,84,0,0,0,0,0,0
50,M00050,L,300.1,311.8,1754,54.1,148,0,0,0,0,0,0
51,M00051,L,303.0,310.4,2090,26.5,47,0,0,0,0,0,0
52,L00052,L,301.5,309.2,2142,49.9,232,1,0,0,0,0,0
53,M00053,L,302.4,309.7,2826,48.1,193,0,0,0,0,0,0
54,L00054,L,296.4,309.0,2220,54.7,172,0,0,0,0,0,0
55,M00055,M,297.2,311.1,2404,30.8,128,0,0,0,0,0,0
56,H00056,M,300.0,308.9,1433,39.4,21,0,0,0,0,0,0
57,H00057,L,301.7,309.4,1698,49.8,55,0,0,0,0,0,0
58,L00058,L,301.3,310.5,2201,43.5,167,0,0,0,0,0,0
59,H00059,L,297.3,311.6,2584,44.9,37,0,0,0,0,0,0
60,H00060,L,302.3,312.9,2646,47.4,18,0,0,0,0,0,0
61,M00061,L,299.8,308.7,2843,36.7,146,0,0,0,0,0,0
62,L00062,L,301.6,310.6,2051,30.4,193,0,0,0,0,0,0
63,M00063,L,298.8,310.0,2395,32.1,92,0,0,0,0,0,0
64,M00064,L,296.9,309.8,2549,39.1,113,0,0,0,0,0,0
65,M00065,L,301.7,309.7,2182,32.5,113,0,0,0,0,0,0
66,M00066,L,300.9,308.8,2051,37.1,214,0,0,0,0,0,0
67,M00067,M,297.5,311.7,2586,39.8,174,0,0,0,0,0,0
68,M00068,L,298.7,307.9,2644,55.2,57,0,0,0,0,0,0
69,M00069,L,301.4,309.9,2243,29.0,184,0,0,0,0,0,0
70,L00070,L,300.4,311.5,1491,32.4,249,0,0,0,0,0,0
71,H00071,M,301.0,310.2,1215,39.6,175,0,0,0,0,0,0
72,M00072,M,299.0,309.3,1756,29.7,218,0,0,0,0,0,0
